"1","FINLAND1","7.769","1.340","1.587","0.986","0.596","0.153","0.393"
"2","DENMARK","7.600","1.383","1.573","0.996","0.592","0.252","0.410"
"3","NORWAY","7.554","1.488","1.582","1.028","0.603","0.271","0.341"
"4","ICELAND","7.494","1.380","1.624","1.026","0.591","0.354","0.118"
"5","NETHERLANDS","7.488","1.396","1.522","0.999","0.557","0.322","0.298"
"6","SWITZERLAND","7.480","1.452","1.526","1.052","0.572","0.263","0.343"
"7","SWEDEN","7.343","1.387","1.487","1.009","0.574","0.267","0.373"
"8","NEW ZEALAND","7.307","1.303","1.557","1.026","0.585","0.330","0.380"
"9","CANADA","7.278","1.365","1.505","1.039","0.584","0.285","0.308"
"10","AUSTRIA","7.246","1.376","1.475","1.016","0.532","0.244","0.226"
"11","AUSTRALIA","7.228","1.372","1.548","1.036","0.557","0.332","0.290"
"12","COSTA RICA","7.167","1.034","1.441","0.963","0.558","0.144","0.093"
"13","ISRAEL","7.139","1.276","1.455","1.029","0.371","0.261","0.082"
"14","LUXEMBOURG","7.090","1.609","1.479","1.012","0.526","0.194","0.316"
"15","UNITED KINGDOM","7.054","1.333","1.538","0.996","0.450","0.348","0.278"
"16","IRELAND","7.021","1.499","1.553","0.999","0.516","0.298","0.310"
"17","GERMANY","6.985","1.373","1.454","0.987","0.495","0.261","0.265"
"18","BELGIUM","6.923","1.356","1.504","0.986","0.473","0.160","0.210"
"19","UNITED STATES","6.892","1.433","1.457","0.874","0.454","0.280","0.128"
"20","CZECH REPUBLIC","6.852","1.269","1.487","0.920","0.457","0.046","0.036"
"21","UNITED ARAB EMIRATES","6.825","1.503","1.310","0.825","0.598","0.262","0.182"
"22","MALTA","6.726","1.300","1.520","0.999","0.564","0.375","0.151"
"23","MEXICO","6.595","1.070","1.323","0.861","0.433","0.074","0.073"
"24","FRANCE","6.592","1.324","1.472","1.045","0.436","0.111","0.183"
"25","TAIWAN","6.446","1.368","1.430","0.914","0.351","0.242","0.097"
"26","CHILE","6.444","1.159","1.369","0.920","0.357","0.187","0.056"
"27","GUATEMALA","6.436","0.800","1.269","0.746","0.535","0.175","0.078"
"28","SAUDI ARABIA","6.375","1.403","1.357","0.795","0.439","0.080","0.132"
"29","QATAR","6.374","1.684","1.313","0.871","0.555","0.220","0.167"
"30","SPAIN","6.354","1.286","1.484","1.062","0.362","0.153","0.079"
"31","PANAMA","6.321","1.149","1.442","0.910","0.516","0.109","0.054"
"32","BRAZIL","6.300","1.004","1.439","0.802","0.390","0.099","0.086"
"33","URUGUAY","6.293","1.124","1.465","0.891","0.523","0.127","0.150"
"34","SINGAPORE","6.262","1.572","1.463","1.141","0.556","0.271","0.453"
"35","EL SALVADOR","6.253","0.794","1.242","0.789","0.430","0.093","0.074"
"36","ITALY","6.223","1.294","1.488","1.039","0.231","0.158","0.030"
"37","BAHRAIN","6.199","1.362","1.368","0.871","0.536","0.255","0.110"
"38","SLOVAKIA","6.198","1.246","1.504","0.881","0.334","0.121","0.014"
"39","TRINIDAD & TOBAGO","6.192","1.231","1.477","0.713","0.489","0.185","0.016"
"40","POLAND","6.182","1.206","1.438","0.884","0.483","0.117","0.050"
"41","UZBEKISTAN","6.174","0.745","1.529","0.756","0.631","0.322","0.240"
"42","LITHUANIA","6.149","1.238","1.515","0.818","0.291","0.043","0.042"
"43","COLOMBIA","6.125","0.985","1.410","0.841","0.470","0.099","0.034"
"44","SLOVENIA","6.118","1.258","1.523","0.953","0.564","0.144","0.057"
"45","NICARAGUA","6.105","0.694","1.325","0.835","0.435","0.200","0.127"
"46","KOSOVO","6.100","0.882","1.232","0.758","0.489","0.262","0.006"
"47","ARGENTINA","6.086","1.092","1.432","0.881","0.471","0.066","0.050"
